PRVDRNUM	PRWI	TCHOP	DSHOPG	COLACP	GAF	TCHCP	DSHCPG	COLA	URSPA	OPCCR	CPCCR
10001	0.8401	0	0.1274	1	0.8875	0	0.05944	1	OURBAN	0.273	0.028
10005	0.8632	0	0.11018	1	0.9042	0	0	1	RURAL	0.317	0.058
10006	0.7878	0	0.07113	1	0.8493	0	0.04491	1	OURBAN	0.222	0.018
10007	0.7618	0	0.10188	1	0.83	0	0	1	RURAL	0.467	0.058
10008	0.7792	0	0.12	1	0.8429	0	0	1	RURAL	0.372	0.021
10009	0.8679	0	0.07806	1	0.9075	0	0.04669	1	OURBAN	0.177	0.014
10010	0.8632	0	0.07651	1	0.9042	0	0	1	RURAL	0.307	0.043
10011	0.8754	0.02737	0.03727	1	0.9129	0.01126	0.03479	1	LURBAN	0.3	0.022
10012	0.9489	0	0.12	1	0.9647	0	0	1	RURAL	0.232	0.02
10015	0.7664	0	0.12	1	0.8334	0	0	1	RURAL	0.495	0.037
10016	0.8754	0	0.07623	1	0.9129	0	0.04622	1	LURBAN	0.19	0.019
10018	0.8754	0.20578	0	1	0.9129	0.2635	0	1	LURBAN	0.618	0.079
10019	0.7878	0	0.13472	1	0.8493	0	0.06135	1	OURBAN	0.367	0.038
10021	0.767	0	0.12	1	0.8339	0	0	1	RURAL	0.387	0.03
10022	0.9739	0	0.09168	1	0.9821	0	0	1	OURBAN	0.369	0.02
10023	0.8302	0.0492	0.25309	1	0.8804	0.02274	0.09264	1	OURBAN	0.206	0.015
10024	0.8302	0	0.1098	1	0.8804	0	0.05488	1	OURBAN	0.265	0.033
10025	0.8464	0	0.10384	1	0.8921	0	0	1	RURAL	0.508	0.031
10027	0.7644	0	0.12	1	0.832	0	0	1	RURAL	0.502	0.037
10029	0.8464	0	0.12104	1	0.8921	0	0.05779	1	OURBAN	0.424	0.049
10032	0.7943	0	0.05806	1	0.8541	0	0	1	RURAL	0.564	0.018
10033	0.8754	0.14656	0.19946	1	0.9129	0.06636	0.07835	1	LURBAN	0.254	0.024
10034	0.8302	0	0.06701	1	0.8804	0	0	1	OURBAN	0.461	0.042
10035	0.8632	0	0.0972	1	0.9042	0	0	1	RURAL	0.284	0.044
