MSA	PMSA	FIPS	Level	county
		02013	5	Aleutians East
		02016	5	Aleutians West
0380		02020	3	Anchorage
		02050	5	Bethel
		02060	5	Bristol Bay
		02068	5	Denali
		02070	5	Dillingham
		02090	5	Fairbanks North Star
		02100	5	Haines
		02110	5	Juneau
		02122	5	Kenai Peninsula
		02130	5	Ketchikan Gateway
		02150	5	Kodiak Island
		02164	5	Lake and Peninsula
		02170	5	Matanuska-Susitna
		02180	5	Nome
		02185	5	North Slope
		02188	5	Northwest Arctic
		02201	5	Prince of Wales-Outer Ketchikan
		02220	5	Sitka
		02232	5	Skagway-Hoonah-Angoon
		02240	5	Southeast Fairbanks
		02261	5	Valdez-Cordova
		02270	5	Wade Hampton
		02280	5	Wrangell-Petersburg
		02282	5	Yakutat
		02290	5	Yukon-Koyukuk
5240		01001	3	Autauga
5160		01003	3	Baldwin
		01005	5	Barbour
		01007	5	Bibb
1000		01009	3	Blount
		01011	5	Bullock
		01013	5	Butler
0450		01015	3	Calhoun
		01017	5	Chambers
		01019	5	Cherokee
		01021	5	Chilton
		01023	5	Choctaw
		01025	5	Clarke
		01027	5	Clay
		01029	5	Cleburne
		01031	5	Coffee
2650		01033	3	Colbert
		01035	5	Conecuh
		01037	5	Coosa
		01039	5	Covington
		01041	5	Crenshaw
		01043	5	Cullman
2180		01045	3	Dale
		01047	5	Dallas
		01049	5	De Kalb
5240		01051	3	Elmore
		01053	5	Escambia
2880		01055	3	Etowah
		01057	5	Fayette
		01059	5	Franklin
		01061	5	Geneva
		01063	5	Greene
		01065	5	Hale
		01067	5	Henry
2180		01069	3	Houston
		01071	5	Jackson
1000		01073	3	Jefferson
		01075	5	Lamar
2650		01077	3	Lauderdale
2030		01079	3	Lawrence
		01081	5	Lee
3440		01083	3	Limestone
		01085	5	Lowndes
		01087	5	Macon
3440		01089	3	Madison
		01091	5	Marengo
		01093	5	Marion
		01095	5	Marshall
5160		01097	3	Mobile
		01099	5	Monroe
5240		01101	3	Montgomery
2030		01103	3	Morgan
		01105	5	Perry
		01107	5	Pickens
		01109	5	Pike
		01111	5	Randolph
1800		01113	3	Russell
1000		01115	3	St. Clair
1000		01117	3	Shelby
		01119	5	Sumter
		01121	5	Talladega
