SSA	FIPS
01000	01001
01010	01003
01020	01005
01030	01007
01040	01009
01050	01011
01060	01013
01070	01015
01080	01017
01090	01019
01100	01021
01110	01023
01120	01025
01130	01027
01140	01029
01150	01031
01160	01033
01170	01035
01180	01037
01190	01039
01200	01041
01210	01043
01220	01045
01230	01047
01240	01049
01250	01051
01260	01053
01270	01055
01280	01057
01290	01059
01300	01061
01310	01063
01320	01065
01330	01067
01340	01069
01350	01071
01360	01073
01370	01075
01380	01077
01390	01079
01400	01081
01410	01083
01420	01085
01430	01087
01440	01089
01450	01091
01460	01093
01470	01095
01480	01097
01490	01099
01500	01101
01510	01103
01520	01105
01530	01107
01540	01109
01550	01111
01560	01113
01570	01115
01580	01117
01590	01119
01600	01121
01610	01123
01620	01125
01630	01127
01640	01129
01650	01131
01660	01133
01999	01990
02013	02013
02016	02016
02020	02020
02030	02031
02040	02040
02050	02050
02060	02060
02068	02068
02070	02070
02080	02080
02090	02090
02100	02100
02110	02110
02120	02120
02122	02122
02130	02130
02140	02140
02150	02150
02160	02160
02164	02164
02170	02170
02180	02180
02185	02185
02188	02188
02190	02190
02200	02200
02201	02201
02210	02210
02220	02220
02230	02230
02231	02231
02232	02232
02240	02240
02250	02250
02260	02260
02261	02261
02270	02270
02280	02280
02282	02282
02290	02290
02999	02990
03000	04001
03010	04003
03020	04005
03030	04007
03040	04009
03050	04011
03055	04012
03060	04013
03070	04015
03080	04017
03090	04019
03100	04021
03110	04023
03120	04025
03130	04027
03999	04990
04000	05001
04010	05003
04020	05005
04030	05007
04040	05009
04050	05011
04060	05013
04070	05015
04080	05017
04090	05019
04100	05021
04110	05023
04120	05025
04130	05027
04140	05029
04150	05031
04160	05033
04170	05035
04180	05037
04190	05039
04200	05041
04210	05043
04220	05045
04230	05047
04240	05049
04250	05051
04260	05053
04270	05055
04280	05057
04290	05059
04300	05061
04310	05063
04320	05065
04330	05067
04340	05069
04350	05071
04360	05073
04370	05075
04380	05077
04390	05079
04400	05081
04410	05083
04420	05085
04430	05087
04440	05089
04450	05091
04460	05093
04470	05095
04480	05097
04490	05099
04500	05101
04510	05103
04520	05105
04530	05107
04540	05109
04550	05111
04560	05113
04570	05115
04580	05117
04590	05119
04600	05121
04610	05123
04620	05125
04630	05127
04640	05129
04650	05131
04660	05133
04670	05135
04680	05137
04690	05139
04700	05141
04710	05143
04720	05145
04730	05147
04740	05149
04999	05990
05000	06001
05010	06003
05020	06005
05030	06007
05040	06009
05050	06011
05060	06013
05070	06015
05080	06017
05090	06019
05100	06021
05110	06023
05120	06025
05130	06027
05140	06029
05150	06031
05160	06033
05170	06035
05200	06037
05210	06037
05300	06039
05310	06041
05320	06043
05330	06045
05340	06047
05350	06049
05360	06051
05370	06053
05380	06055
05390	06057
05400	06059
05410	06061
05420	06063
05430	06065
05440	06067
05450	06069
05460	06071
05470	06073
05480	06075
05490	06077
05500	06079
05510	06081
05520	06083
05530	06085
05540	06087
05550	06089
05560	06091
05570	06093
05580	06095
05590	06097
05600	06099
05610	06101
05620	06103
05630	06105
05640	06107
05650	06109
05660	06111
05670	06113
05680	06115
05999	06990
06000	08001
06010	08003
06020	08005
06030	08007
06040	08009
06050	08011
06060	08013
06070	08015
06080	08017
06090	08019
06100	08021
06110	08023
06120	08025
06130	08027
06140	08029
06150	08031
06160	08033
06170	08035
06180	08037
06190	08039
06200	08041
06210	08043
06220	08045
06230	08047
06240	08049
06250	08051
06260	08053
06270	08055
06280	08057
06290	08059
06300	08061
06310	08063
06320	08065
06330	08067
06340	08069
06350	08071
06360	08073
06370	08075
06380	08077
06390	08079
06400	08081
06410	08083
06420	08085
06430	08087
06440	08089
06450	08091
06460	08093
06470	08095
06480	08097
06490	08099
06500	08101
06510	08103
06520	08105
06530	08107
06540	08109
06550	08111
06560	08113
06570	08115
06580	08117
06590	08119
06600	08121
06610	08123
06620	08125
06630	08014
06999	08990
07000	09001
07010	09003
07020	09005
07030	09007
07040	09009
07050	09011
