cty	benchmark
01000	791.62
01010	791.62
01020	738.56
01030	812.65
01040	796.71
01050	716.25
01060	759.29
01070	716.25
01080	716.25
01090	761.46
01100	803.71
01110	785.9
01120	716.25
01130	716.25
01140	716.25
01150	716.25
01160	760.64
01170	862.47
01180	716.25
01190	716.25
01200	716.25
01210	758.28
01220	716.25
01230	716.25
01240	716.25
01250	791.62
01260	727.76
01270	776.18
01280	716.25
01290	851.16
01300	716.25
01310	716.25
01320	782.12
01330	716.25
01340	716.25
01350	716.25
01360	791.62
01370	716.25
01380	716.25
01390	716.25
01400	716.25
01410	791.62
01420	791.62
01430	716.25
01440	791.62
01450	737.02
01460	794.04
01470	716.25
01480	845.35
01490	758.9
01500	791.62
01510	716.25
01520	716.25
01530	745.44
01540	716.25
01550	753.43
01560	791.62
01570	791.62
01580	941.64
01590	729.2
01600	782.6
01610	716.25
01620	716.25
01630	791.62
01640	773.93
01650	716.25
01660	834.02
02013	939.21
02016	939.21
02020	803.73
02050	865.78
02060	741.95
02068	981.19
02070	750.7
02090	845.32
02100	844.43
02110	809.71
02122	985.33
02130	836.12
02150	894.92
02164	750.7
02170	816.46
02180	860
02185	1076.49
02188	726.24
02201	867.35
02220	958.8
02232	842.91
02240	756.93
02261	749.12
02270	831.65
02280	877.5
02282	842.91
02290	981.19
03000	716.25
03010	716.25
03020	716.25
03030	719.22
03040	716.25
03050	716.25
03055	716.25
03060	791.62
03070	791.62
03080	716.25
03090	791.62
03100	791.62
03110	716.25
03120	716.25
03130	716.25
04000	716.25
04010	798.35
04020	716.25
04030	791.62
04040	716.25
04050	878.13
04060	716.25
04070	716.25
04080	785.01
04090	716.25
04100	758.94
04110	716.25
04120	716.25
04130	716.25
04140	716.25
04150	716.25
04160	791.62
04170	800.1
04180	716.25
04190	764.3
04200	736.82
04210	757.88
04220	791.62
04230	791.62
04240	716.25
04250	720.4
04260	791.62
04270	716.25
04280	747.56
04290	731.93
04300	765.65
04310	733.73
04320	716.25
04330	815.29
04340	716.25
04350	716.25
04360	725.11
04370	716.25
04380	716.25
04390	716.25
04400	813.49
04410	716.25
04420	791.62
04430	791.62
04440	716.25
04450	841.54
04460	716.25
04470	716.25
04480	756.11
04490	769.14
04500	716.25
04510	716.25
04520	791.62
04530	716.25
04540	716.25
04550	716.25
04560	716.25
04570	716.25
04580	716.25
04590	791.62
04600	716.25
04610	716.25
04620	791.62
04630	716.25
04640	716.25
04650	791.62
04660	775.85
04670	716.25
04680	716.25
04690	716.25
04700	716.25
04710	791.62
04720	716.25
04730	802.43
04740	751.74
05000	909.78
05010	1323.4
05020	788.09
05030	753.08
05040	867.42
05050	784.23
05060	961.99
05070	747.36
05080	791.62
05090	791.62
05100	722.75
05110	756.69
05120	732.84
05130	760.72
05140	791.62
05150	740.86
05160	912.56
05170	750.85
05200	937.75
05210	937.75
05300	791.62
05310	830.15
05320	796.56
05330	765.98
05340	740.26
05350	780.89
05360	866.14
05370	829.08
05380	939.4
05390	744.86
05400	876.23
05410	799.09
05420	861.4
05430	874.9
05440	791.62
05450	820.32
05460	866.1
05470	815.81
05480	842.6
05490	791.62
05500	717.92
05510	791.62
05520	791.62
05530	827.58
05540	791.62
05550	959.62
05560	762.66
05570	746.19
05580	853.64
05590	791.62
05600	868.63
05610	733.42
05620	770.86
05630	850.37
05640	791.62
05650	771.61
05660	848.27
05670	791.62
05680	786.43
06000	814
06010	716.25
06020	791.62
06030	716.25
06040	781.08
06050	716.25
06060	791.62
06064	791.62
06070	716.25
06080	766.47
06090	794.92
06100	716.25
06110	716.25
06120	716.25
06130	716.25
06140	856.09
06150	797.67
06160	716.25
06170	791.62
06180	786.04
06190	791.62
06200	791.62
06210	716.25
06220	769.61
06230	791.62
06240	770.15
06250	716.25
06260	832.23
06270	747.56
06280	716.25
06290	791.62
06300	811.74
06310	758.61
06320	872.24
06330	716.25
06340	791.62
06350	716.25
06360	845.67
06370	716.25
06380	950.97
06390	716.25
06400	768.81
06410	716.25
06420	843.02
06430	741.55
06440	718.38
06450	754.34
06460	791.62
06470	754.56
06480	849.91
06490	778.16
06500	716.25
06510	930.8
06520	716.25
06530	807.67
06540	716.25
06550	716.25
06560	716.25
06570	795.3
06580	716.25
06590	791.62
06600	716.25
06610	791.62
06620	740.63
07000	807.97
07010	791.62
07020	791.62
07030	791.62
07040	818.26
07050	791.62
07060	848.48
07070	791.62
08000	716.25
08010	791.62
08020	716.25
09000	912.93
10000	731.26
10010	798.52
10020	763.77
10030	749.91
10040	791.62
10050	918.17
10060	716.25
10070	795.67
10080	740.29
10090	791.62
10100	791.62
10110	750.05
10120	1093.78
10130	912.72
10140	772.12
10150	820.54
10160	791.62
10170	791.62
10180	895.29
10190	791.62
10200	796.27
10210	794.07
10220	776.45
10230	747.82
10240	810.2
10250	739.35
10260	791.62
10270	771.23
10280	791.62
10290	716.25
10300	785.47
10310	716.25
10320	791.62
10330	800.64
10340	791.62
10350	791.62
10360	791.62
10370	721
10380	722.42
10390	716.25
10400	791.62
10410	791.62
10420	794.07
10430	840.88
10440	791.62
10450	733.98
10460	918.53
10470	824.74
10480	815.09
10490	861.2
10500	791.62
10510	810.56
10520	791.62
10530	737.39
10540	791.62
10550	882.4
10560	791.62
10570	791.62
10580	825.17
10590	743
10600	760.92
10610	868.22
10620	743.19
10630	791.62
10640	791.62
10650	728.61
10660	755.3
11000	726.38
11010	777.75
11011	785.8
11020	742.52
11030	716.25
11040	716.25
11050	791.62
11060	791.62
11070	716.25
11080	792.09
11090	791.62
11100	757.36
11110	754.69
11120	716.25
11130	791.62
11140	716.25
11150	791.62
11160	791.62
11161	738.38
11170	780.44
11180	716.25
11190	791.62
11200	791.62
11210	814.71
11220	791.62
11230	791.62
11240	716.25
11250	793.48
11260	716.25
11270	716.25
11280	826.98
11281	900.12
11290	791.62
11291	757.54
11300	716.25
11310	791.62
11311	716.25
11320	882.8
11330	716.25
11340	716.25
11341	791.62
11350	814.8
11360	716.25
11370	791.62
11380	809.57
11381	716.25
11390	716.25
11400	858.77
11410	716.25
11420	716.25
11421	791.62
11430	716.25
11440	716.25
11441	835.98
11450	824.96
11451	791.62
11460	716.25
11461	833.51
11462	716.25
11470	805.22
11471	794.33
11480	716.25
11490	734.76
11500	716.25
11510	716.25
11520	748.25
11530	791.62
11540	716.25
11550	716.25
11560	785.41
11570	791.62
11580	791.62
11581	716.25
11590	791.62
11591	813.39
11600	791.62
11601	716.25
11610	716.25
11611	791.62
11612	716.25
11620	716.25
11630	764.22
11640	736.1
11650	791.62
11651	791.62
11652	818.87
11660	716.25
11670	716.25
11680	765.31
11690	794.25
11691	719.77
11700	716.25
11701	792.31
11702	799.28
11703	791.06
11710	778.64
11720	716.25
11730	791.62
11740	791.62
11741	716.25
11750	716.25
11760	716.25
11770	781.65
11771	716.25
11772	716.25
11780	791.62
11790	791.62
11800	738.99
11801	716.25
11810	791.62
11811	791.62
11812	801.13
11820	716.25
11821	791.62
11830	718.36
11831	716.25
11832	733.06
11833	716.25
11834	738.35
11835	716.25
11840	791.62
11841	791.62
11842	716.25
11850	716.25
11851	716.25
11860	791.62
11861	716.25
11862	826.31
11870	716.25
11880	716.25
11881	727.52
11882	776.31
11883	716.25
11884	755.44
11885	716.25
11890	716.25
11900	716.25
11901	716.25
11902	716.25
11903	716.25
11910	716.25
11911	716.25
11912	791.62
11913	716.25
11920	716.25
11921	791.62
11930	791.62
11940	716.25
11941	716.25
11950	716.25
11960	779.58
11961	765.52
11962	782.3
11963	716.25
11970	716.25
11971	722.33
11972	716.25
11973	716.25
11980	716.25
12010	716.25
12020	791.62
12030	716.25
12040	716.25
12050	721.66
13000	791.62
13010	716.25
13020	716.25
13030	755.8
13040	723.64
13050	716.25
13060	737.95
13070	791.62
13080	716.25
13090	716.25
13100	716.25
13110	716.25
13120	716.25
13130	791.62
13140	716.25
13150	716.25
13160	917.94
13170	733.53
13180	792.54
13190	719.1
13200	716.25
13210	716.25
13220	791.62
13230	716.25
13240	716.25
13250	716.25
13260	716.25
13270	743.1
13280	716.25
13290	774.43
13300	716.25
13310	716.25
13320	716.25
13330	716.25
13340	718.78
13350	718.98
13360	791.62
13370	716.25
13380	716.25
13390	729.28
13400	930.81
13410	716.25
13420	716.25
13430	716.25
14000	716.25
14010	716.25
14020	791.62
14030	791.62
14040	716.25
14050	716.25
14060	861.98
14070	716.25
14080	716.25
14090	716.25
14100	724.97
14110	716.25
14120	769.32
14130	791.62
14140	716.25
14141	842.41
14150	716.25
14160	716.25
14170	791.62
14180	716.25
14190	716.25
