mprovno	ssa	county
010108	01	Autauga
010100	01	Baldwin
010129	01	Baldwin
010083	01	Baldwin
010069	01	Barbour
010058	01	Bibb
010050	01	Blount
010110	01	Bullock
010150	01	Butler
010078	01	Calhoun
010038	01	Calhoun
010146	01	Calhoun
010025	01	Chambers
010022	01	Cherokee
010043	01	Chilton
010091	01	Clarke
010015	01	Clarke
010073	01	Clay
010027	01	Coffee
010049	01	Coffee
010157	01	Colbert
010019	01	Colbert
010148	01	Conecuh
010007	01	Covington
010036	01	Covington
010066	01	Covington
010008	01	Crenshaw
010143	01	Cullman
010035	01	Cullman
010021	01	Dale
010118	01	Dallas
010012	01	De Kalb
010097	01	Elmore
010034	01	Elmore
010169	01	Escambia
010099	01	Escambia
010046	01	Etowah
010045	01	Fayette
010158	01	Franklin
010062	01	Geneva
010051	01	Greene
010095	01	Hale
010001	01	Houston
010055	01	Houston
010061	01	Jackson
010104	01	Jefferson
010018	01	Jefferson
010033	01	Jefferson
010064	01	Jefferson
010139	01	Jefferson
010011	01	Jefferson
010167	01	Jefferson
010103	01	Jefferson
010056	01	Jefferson
010137	01	Jefferson
010114	01	Jefferson
010006	01	Lauderdale
010059	01	Lawrence
010029	01	Lee
010079	01	Limestone
010039	01	Madison
010131	01	Madison
010112	01	Marengo
010044	01	Marion
010086	01	Marion
010005	01	Marshall
010010	01	Marshall
010144	01	Mobile
010087	01	Mobile
010152	01	Mobile
010090	01	Mobile
010113	01	Mobile
010120	01	Monroe
010023	01	Montgomery
010024	01	Montgomery
010149	01	Montgomery
010085	01	Morgan
010009	01	Morgan
010054	01	Morgan
010109	01	Pickens
010126	01	Pike
010032	01	Randolph
010168	01	Russell
010016	01	Shelby
010130	01	St. Clair
010138	01	Sumter
010101	01	Talladega
010065	01	Tallapoosa
010052	01	Tallapoosa
010164	01	Talladega
010092	01	Tuscaloosa
010145	01	Tuscaloosa
010089	01	Walker
010102	01	Wilcox
010125	01	Winston
020001	02	Anchorage
020008	02	Juneau
020014	02	Kenai Peninsula
020024	02	Kenai Peninsula
020006	02	Matanuska-Susitna
020017	02	Anchorage
020012	02	Fairbanks North Star
020027	02	Sitka
030099	03	Apache
030043	03	Cochise
030023	03	Coconino
030033	03	Gila
030068	03	Graham
030067	03	La Paz
030030	03	Maricopa
030102	03	Maricopa
030112	03	Maricopa
030123	03	Maricopa
030103	03	Maricopa
030065	03	Maricopa
030124	03	Maricopa
030110	03	Maricopa
030107	03	Maricopa
030122	03	Maricopa
030014	03	Maricopa
030105	03	Maricopa
030126	03	Maricopa
030022	03	Maricopa
030002	03	Maricopa
030094	03	Maricopa
030125	03	Maricopa
030083	03	Maricopa
030017	03	Maricopa
030024	03	Maricopa
030108	03	Maricopa
030001	03	Maricopa
030120	03	Maricopa
030115	03	Maricopa
030038	03	Maricopa
030121	03	Maricopa
030061	03	Maricopa
030093	03	Maricopa
030089	03	Maricopa
030036	03	Maricopa
030087	03	Maricopa
030088	03	Maricopa
030037	03	Maricopa
030092	03	Maricopa
030119	03	Maricopa
030055	03	Mohave
030117	03	Mohave
030069	03	Mohave
030101	03	Mohave
030062	03	Navajo
030114	03	Pima
030006	03	Pima
030100	03	Pima
030011	03	Pima
030010	03	Pima
030085	03	Pima
030064	03	Pima
030111	03	Pima
030016	03	Pinal
030007	03	Yavapai
030012	03	Yavapai
030118	03	Yavapai
030013	03	Yuma
040072	04	Arkansas
040027	04	Baxter
040010	04	Benton
040001	04	Benton
040017	04	Boone
040067	04	Columbia
040118	04	Craighead
040145	04	Craighead
040020	04	Craighead
040018	04	Crawford
040042	04	Crittenden
040051	04	Drew
040029	04	Faulkner
040142	04	Garland
040132	04	Garland
040026	04	Garland
040039	04	Greene
040091	04	Hempstead
040076	04	Hot Spring
040119	04	Independence
040080	04	Jackson
040071	04	Jefferson
040002	04	Johnson
040069	04	Mississippi
040050	04	Ouachita
040085	04	Phillips
040081	04	Pike
040015	04	Polk
040041	04	Pope
040134	04	Pulaski
040147	04	Pulaski
040150	04	Pulaski
040137	04	Pulaski
040007	04	Pulaski
040021	04	Pulaski
040114	04	Pulaski
040036	04	Pulaski
040074	04	Pulaski
040016	04	Pulaski
040078	04	Pulaski
040047	04	Randolph
040084	04	Saline
040055	04	Sebastian
040062	04	Sebastian
040019	04	St. Francis
040088	04	Union
040022	04	Washington
040004	04	Washington
040014	04	White
040149	04	White
040011	04	Yell
050320	05	Alameda
050305	05	Alameda
050043	05	Alameda
050488	05	Alameda
050512	05	Alameda
050002	05	Alameda
050264	05	Alameda
050211	05	Alameda
050195	05	Alameda
050283	05	Alameda
050014	05	Amador
050225	05	Butte
050030	05	Butte
050039	05	Butte
050366	05	Calaveras
050434	05	Colusa
050523	05	Contra Costa
050496	05	Contra Costa
050689	05	Contra Costa
050079	05	Contra Costa
050760	05	Contra Costa
050180	05	Contra Costa
050072	05	Contra Costa
050276	05	Contra Costa
050417	05	Del Norte
050352	05	El Dorado
050254	05	El Dorado
050060	05	Fresno
050682	05	Fresno
050093	05	Fresno
050192	05	Fresno
050710	05	Fresno
050492	05	Fresno
050708	05	Fresno
050732	05	Fresno
050397	05	Fresno
050006	05	Humboldt
050028	05	Humboldt
050045	05	Imperial
050342	05	Imperial
050608	05	Kern
050257	05	Kern
050448	05	Kern
050724	05	Kern
050295	05	Kern
050036	05	Kern
050315	05	Kern
050455	05	Kern
050349	05	Kings
050121	05	Kings
050196	05	Kings
050476	05	Lake
050763	05	Los Angeles
050063	05	Los Angeles
050205	05	Los Angeles
050111	05	Los Angeles
050742	05	Los Angeles
050376	05	Los Angeles
050575	05	Los Angeles
050752	05	Los Angeles
050139	05	Los Angeles
050644	05	Los Angeles
050717	05	Los Angeles
050373	05	Los Angeles
050561	05	Los Angeles
050481	05	Los Angeles
050762	05	Los Angeles
050138	05	Los Angeles
050382	05	Los Angeles
050531	05	Los Angeles
050353	05	Los Angeles
050040	05	Los Angeles
050149	05	Los Angeles
050056	05	Los Angeles
050290	05	Los Angeles
050696	05	Los Angeles
050126	05	Los Angeles
050740	05	Los Angeles
050277	05	Los Angeles
050411	05	Los Angeles
050235	05	Los Angeles
050281	05	Los Angeles
050096	05	Los Angeles
050350	05	Los Angeles
050146	05	Los Angeles
050262	05	Los Angeles
050393	05	Los Angeles
050624	05	Los Angeles
050660	05	Los Angeles
050588	05	Los Angeles
050641	05	Los Angeles
050278	05	Los Angeles
050091	05	Los Angeles
050438	05	Los Angeles
050103	05	Los Angeles
050485	05	Los Angeles
050204	05	Los Angeles
050158	05	Los Angeles
050239	05	Los Angeles
050468	05	Los Angeles
050677	05	Los Angeles
050753	05	Los Angeles
050116	05	Los Angeles
050238	05	Los Angeles
050735	05	Los Angeles
050736	05	Los Angeles
050738	05	Los Angeles
050137	05	Los Angeles
050727	05	Los Angeles
050169	05	Los Angeles
050609	05	Los Angeles
050018	05	Los Angeles
050124	05	Los Angeles
050597	05	Los Angeles
050112	05	Los Angeles
050723	05	Los Angeles
050737	05	Los Angeles
050581	05	Los Angeles
050231	05	Los Angeles
050135	05	Los Angeles
050378	05	Los Angeles
050471	05	Los Angeles
050601	05	Los Angeles
050058	05	Los Angeles
050761	05	Los Angeles
050191	05	Los Angeles
050663	05	Los Angeles
050104	05	Los Angeles
050078	05	Los Angeles
050132	05	Los Angeles
050552	05	Los Angeles
050219	05	Los Angeles
050625	05	Los Angeles
050739	05	Los Angeles
050704	05	Los Angeles
050502	05	Los Angeles
050755	05	Los Angeles
050351	05	Los Angeles
050545	05	Los Angeles
050568	05	Madera
050360	05	Marin
050131	05	Marin
050510	05	Marin
050301	05	Mendocino
050528	05	Merced
050444	05	Merced
050430	05	Modoc
050248	05	Monterey
050334	05	Monterey
050145	05	Monterey
050189	05	Monterey
050013	05	Napa
050667	05	Napa
050009	05	Napa
050150	05	Nevada
050075	05	Alameda
050603	05	Orange
050570	05	Orange
050226	05	Orange
050193	05	Orange
050580	05	Orange
050173	05	Orange
050693	05	Orange
050589	05	Orange
050745	05	Orange
050720	05	Orange
050746	05	Orange
050348	05	Orange
050168	05	Orange
050543	05	Orange
050678	05	Orange
050426	05	Orange
050567	05	Orange
050747	05	Orange
050230	05	Orange
050551	05	Orange
050744	05	Orange
050526	05	Orange
050224	05	Orange
050548	05	Orange
050498	05	Placer
050022	05	Riverside
050329	05	Riverside
050423	05	Riverside
050573	05	Riverside
050292	05	Riverside
050102	05	Riverside
050686	05	Riverside
050586	05	Riverside
050701	05	Riverside
050243	05	Riverside
050534	05	Riverside
050684	05	Riverside
050390	05	Riverside
050765	05	Riverside
050694	05	Riverside
050108	05	Sacramento
050414	05	Sacramento
050425	05	Sacramento
050599	05	Sacramento
050516	05	Sacramento
050017	05	Sacramento
050674	05	Sacramento
050590	05	Sacramento
050296	05	San Benito
050298	05	San Bernardino
050279	05	San Bernardino
050709	05	San Bernardino
050245	05	San Bernardino
050272	05	San Bernardino
050517	05	San Bernardino
050327	05	San Bernardino
050089	05	San Bernardino
050054	05	San Bernardino
050099	05	San Bernardino
050300	05	San Bernardino
050618	05	San Bernardino
050140	05	San Bernardino
050758	05	San Bernardino
050129	05	San Bernardino
050636	05	San Diego
050222	05	San Diego
050722	05	San Diego
050077	05	San Diego
050115	05	San Diego
050025	05	San Diego
050435	05	San Diego
050234	05	San Diego
050515	05	San Diego
050324	05	San Diego
050128	05	San Diego
050503	05	San Diego
050026	05	San Diego
050024	05	San Diego
050757	05	San Diego
050100	05	San Diego
050424	05	San Diego
050228	05	San Francisco
050457	05	San Francisco
050407	05	San Francisco
050454	05	San Francisco
050055	05	San Francisco
050668	05	San Francisco
050008	05	San Francisco
050047	05	San Francisco
050076	05	San Francisco
050152	05	San Francisco
050084	05	San Joaquin
050122	05	San Joaquin
050313	05	San Joaquin
050748	05	San Joaquin
050118	05	San Joaquin
050167	05	San Joaquin
050336	05	San Joaquin
050506	05	San Luis Obispo
050016	05	San Luis Obispo
050633	05	San Luis Obispo
050232	05	San Luis Obispo
050289	05	San Mateo
050113	05	San Mateo
050197	05	San Mateo
050541	05	San Mateo
050070	05	San Mateo
050007	05	San Mateo
050754	05	San Mateo
050396	05	Santa Barbara
050478	05	Santa Barbara
050357	05	Santa Barbara
050107	05	Santa Barbara
050110	05	Santa Barbara
050380	05	Santa Clara
050604	05	Santa Clara
050688	05	Santa Clara
050308	05	Santa Clara
050125	05	Santa Clara
050038	05	Santa Clara
050071	05	Santa Clara
050441	05	Santa Clara
050188	05	Santa Clara
050662	05	Santa Clara
050153	05	Santa Clara
050194	05	Santa Cruz
050714	05	Santa Cruz
050242	05	Santa Cruz
050280	05	Shasta
050733	05	Shasta
050697	05	Shasta
050680	05	Solano
050101	05	Solano
050073	05	Solano
050367	05	Solano
050136	05	Sonoma
050090	05	Sonoma
050385	05	Sonoma
050174	05	Sonoma
050291	05	Sonoma
050690	05	Sonoma
050547	05	Sonoma
050464	05	Stanislaus
050067	05	Stanislaus
050179	05	Stanislaus
050726	05	Stanislaus
050557	05	Stanislaus
050042	05	Tehama
050335	05	Tuolumne
050057	05	Tulare
050359	05	Tulare
050261	05	Tulare
050546	05	Tulare
050325	05	Tuolumne
050069	05	Orange
050309	05	Placer
050751	05	Los Angeles
050082	05	Ventura
050046	05	Ventura
050394	05	Ventura
050236	05	Ventura
050616	05	Ventura
050159	05	Ventura
050749	05	Ventura
050549	05	Ventura
050127	05	Yolo
050537	05	Yolo
050133	05	Yuba
060004	06	Adams
060024	06	Adams
060065	06	Adams
060104	06	Adams
060008	06	Alamosa
060100	06	Arapahoe
060034	06	Arapahoe
060113	06	Arapahoe
060122	06	Archuleta
060003	06	Boulder
060027	06	Boulder
060116	06	Boulder
060103	06	Boulder
060043	06	Cheyenne
060071	06	Delta
060123	06	Denver
060032	06	Denver
060015	06	Denver
060011	06	Denver
060107	06	Denver
060014	06	Denver
060064	06	Denver
060028	06	Denver
060112	06	Douglas
060114	06	Douglas
060013	06	La Plata
060096	06	Eagle
060022	06	El Paso
060031	06	El Paso
060016	06	Fremont
060075	06	Garfield
060009	06	Jefferson
060117	06	La Plata
060030	06	Larimer
060119	06	Larimer
060010	06	Larimer
060121	06	Larimer
060036	06	Las Animas
060076	06	Logan
060023	06	Mesa
060054	06	Mesa
060018	06	Montezuma
060006	06	Montrose
060044	06	Morgan
060012	06	Pueblo
060020	06	Pueblo
060049	06	Routt
060118	06	Summit
060120	06	Teller
060001	06	Weld
070028	07	Fairfield
070010	07	Fairfield
070034	07	Fairfield
070018	07	Fairfield
070006	07	Fairfield
070033	07	Fairfield
070036	07	Hartford
070002	07	Hartford
070029	07	Hartford
070027	07	Hartford
070040	07	Hartford
070025	07	Hartford
070035	07	Hartford
070004	07	Litchfield
070015	07	Litchfield
070011	07	Litchfield
070020	07	Middlesex
070005	07	New Haven
070031	07	New Haven
070016	07	New Haven
070017	07	New Haven
070038	07	New Haven
070039	07	New Haven
070019	07	New Haven
070022	07	New Haven
070001	07	New Haven
070024	07	New London
070007	07	New London
070008	07	Tolland
070012	07	Tolland
070021	07	Windham
070003	07	Windham
080004	08	Kent
080003	08	New Castle
080001	08	New Castle
080007	08	Sussex
080002	08	Sussex
080006	08	Sussex
090003	09	District of Columbia
090004	09	District of Columbia
090008	09	District of Columbia
090005	09	District of Columbia
090006	09	District of Columbia
090001	09	District of Columbia
090011	09	District of Columbia
100113	10	Alachua
100204	10	Alachua
100305	10	Alachua
100134	10	Baker
100026	10	Bay
100242	10	Bay
100177	10	Brevard
100028	10	Brevard
100092	10	Brevard
100291	10	Brevard
100019	10	Brevard
100285	10	Broward
100200	10	Broward
100086	10	Broward
100210	10	Broward
100039	10	Broward
100281	10	Broward
100228	10	Broward
100073	10	Broward
100189	10	Broward
100038	10	Broward
100224	10	Broward
100276	10	Broward
100289	10	Broward
100167	10	Broward
100237	10	Broward
100230	10	Broward
100236	10	Charlotte
100077	10	Charlotte
100047	10	Charlotte
100023	10	Citrus
100249	10	Citrus
100226	10	Clay
100018	10	Collier
100286	10	Collier
100156	10	Columbia
100102	10	Columbia
100154	10	Dade
100131	10	Dade
100183	10	Dade
100009	10	Dade
100125	10	Dade
100029	10	Dade
100022	10	Dade
100034	10	Dade
100187	10	Dade
100053	10	Dade
100209	10	Dade
100284	10	Dade
100061	10	Dade
100008	10	Dade
100175	10	De Soto
100040	10	Duval
100001	10	Duval
100151	10	Duval
100179	10	Duval
100117	10	Duval
100088	10	Duval
100307	10	Duval
100231	10	Escambia
100093	10	Escambia
100025	10	Escambia
100306	10	Escambia
100118	10	Flagler
100298	10	Gadsden
100264	10	Hernando
100071	10	Hernando
100049	10	Highlands
100109	10	Highlands
100128	10	Hillsborough
100259	10	Hillsborough
100075	10	Hillsborough
100206	10	Hillsborough
100132	10	Hillsborough
100271	10	Hillsborough
100069	10	Hillsborough
100243	10	Hillsborough
100126	10	Hillsborough
100173	10	Hillsborough
100255	10	Hillsborough
100217	10	Indian River
100105	10	Indian River
100142	10	Jackson
100057	10	Lake
100051	10	Lake
100084	10	Lake
100220	10	Lee
100012	10	Lee
100107	10	Lee
100244	10	Lee
100254	10	Leon
100135	10	Leon
100303	10	Leon
100139	10	Levy
100035	10	Manatee
100299	10	Manatee
100213	10	Manatee
100212	10	Marion
100062	10	Marion
100044	10	Martin
100076	10	Dade
100296	10	Dade
100240	10	Dade
100050	10	Dade
100277	10	Dade
100181	10	Dade
