State	State ANSI	County ANSI	County Name
AL	1	1	Autauga
AL	1	3	Baldwin
AL	1	5	Barbour
AL	1	7	Bibb
AL	1	9	Blount
AL	1	11	Bullock
AL	1	13	Butler
AL	1	15	Calhoun
AL	1	17	Chambers
AL	1	19	Cherokee
AL	1	21	Chilton
AL	1	23	Choctaw
AL	1	25	Clarke
AL	1	27	Clay
AL	1	29	Cleburne
AL	1	31	Coffee
AL	1	33	Colbert
AL	1	35	Conecuh
AL	1	37	Coosa
AL	1	39	Covington
AL	1	41	Crenshaw
AL	1	43	Cullman
AL	1	45	Dale
AL	1	47	Dallas
AL	1	49	DeKalb
AL	1	51	Elmore
AL	1	53	Escambia
AL	1	55	Etowah
AL	1	57	Fayette
AL	1	59	Franklin
AL	1	61	Geneva
AL	1	63	Greene
AL	1	65	Hale
AL	1	67	Henry
AL	1	69	Houston
AL	1	71	Jackson
AL	1	73	Jefferson
AL	1	75	Lamar
AL	1	77	Lauderdale
AL	1	79	Lawrence
AL	1	81	Lee
AL	1	83	Limestone
AL	1	85	Lowndes
AL	1	87	Macon
AL	1	89	Madison
AL	1	91	Marengo
AL	1	93	Marion
AL	1	95	Marshall
AL	1	97	Mobile
AL	1	99	Monroe
AL	1	101	Montgomery
AL	1	103	Morgan
AL	1	105	Perry
AL	1	107	Pickens
AL	1	109	Pike
AL	1	111	Randolph
AL	1	113	Russell
AL	1	115	St. Clair
AL	1	117	Shelby
AL	1	119	Sumter
AL	1	121	Talladega
AL	1	123	Tallapoosa
AL	1	125	Tuscaloosa
AL	1	127	Walker
AL	1	129	Washington
AL	1	131	Wilcox
AL	1	133	Winston
AK	2	13	Aleutians East Borough
AK	2	16	Aleutians West Census Area
AK	2	20	Anchorage Municipality
AK	2	50	Bethel Census Area
AK	2	60	Bristol Bay Borough
AK	2	68	Denali Borough
AK	2	70	Dillingham Census Area
AK	2	90	Fairbanks North Star Borough
AK	2	100	Haines Borough
AK	2	105	Hoonah-Angoon Census Area
AK	2	110	Juneau City and Borough
AK	2	122	Kenai Peninsula Borough
AK	2	130	Ketchikan Gateway Borough
AK	2	150	Kodiak Island Borough
AK	2	164	Lake and Peninsula Borough
AK	2	170	Matanuska-Susitna Borough
AK	2	180	Nome Census Area
AK	2	185	North Slope Borough
AK	2	188	Northwest Arctic Borough
AK	2	195	Petersburg Census Area
AK	2	198	Prince of Wales-Hyder Census Area
AK	2	220	Sitka City and Borough
AK	2	230	Skagway Municipality
AK	2	240	Southeast Fairbanks Census Area
AK	2	261	Valdez-Cordova Census Area
AK	2	270	Wade Hampton Census Area
AK	2	275	Wrangell City and Borough
AK	2	282	Yakutat City and Borough
AK	2	290	Yukon-Koyukuk Census Area
AZ	4	1	Apache
AZ	4	3	Cochise
AZ	4	5	Coconino
AZ	4	7	Gila
AZ	4	9	Graham
AZ	4	11	Greenlee
AZ	4	12	La Paz
AZ	4	13	Maricopa
AZ	4	15	Mohave
AZ	4	17	Navajo
AZ	4	19	Pima
AZ	4	21	Pinal
AZ	4	23	Santa Cruz
AZ	4	25	Yavapai
AZ	4	27	Yuma
AR	5	1	Arkansas
AR	5	3	Ashley
AR	5	5	Baxter
AR	5	7	Benton
AR	5	9	Boone
AR	5	11	Bradley
AR	5	13	Calhoun
AR	5	15	Carroll
AR	5	17	Chicot
AR	5	19	Clark
AR	5	21	Clay
AR	5	23	Cleburne
AR	5	25	Cleveland
AR	5	27	Columbia
AR	5	29	Conway
AR	5	31	Craighead
AR	5	33	Crawford
AR	5	35	Crittenden
AR	5	37	Cross
AR	5	39	Dallas
AR	5	41	Desha
AR	5	43	Drew
AR	5	45	Faulkner
AR	5	47	Franklin
AR	5	49	Fulton
AR	5	51	Garland
AR	5	53	Grant
AR	5	55	Greene
AR	5	57	Hempstead
AR	5	59	Hot Spring
AR	5	61	Howard
AR	5	63	Independence
AR	5	65	Izard
AR	5	67	Jackson
AR	5	69	Jefferson
AR	5	71	Johnson
AR	5	73	Lafayette
AR	5	75	Lawrence
AR	5	77	Lee
AR	5	79	Lincoln
AR	5	81	Little River
AR	5	83	Logan
AR	5	85	Lonoke
AR	5	87	Madison
AR	5	89	Marion
AR	5	91	Miller
AR	5	93	Mississippi
AR	5	95	Monroe
AR	5	97	Montgomery
AR	5	99	Nevada
AR	5	101	Newton
AR	5	103	Ouachita
AR	5	105	Perry
AR	5	107	Phillips
AR	5	109	Pike
AR	5	111	Poinsett
AR	5	113	Polk
AR	5	115	Pope
AR	5	117	Prairie
AR	5	119	Pulaski
AR	5	121	Randolph
AR	5	123	St. Francis
AR	5	125	Saline
AR	5	127	Scott
AR	5	129	Searcy
AR	5	131	Sebastian
AR	5	133	Sevier
AR	5	135	Sharp
AR	5	137	Stone
AR	5	139	Union
AR	5	141	Van Buren
AR	5	143	Washington
AR	5	145	White
AR	5	147	Woodruff
AR	5	149	Yell
CA	6	1	Alameda
CA	6	3	Alpine
CA	6	5	Amador
CA	6	7	Butte
CA	6	9	Calaveras
CA	6	11	Colusa
CA	6	13	Contra Costa
CA	6	15	Del Norte
CA	6	17	El Dorado
CA	6	19	Fresno
CA	6	21	Glenn
CA	6	23	Humboldt
CA	6	25	Imperial
CA	6	27	Inyo
CA	6	29	Kern
CA	6	31	Kings
CA	6	33	Lake
CA	6	35	Lassen
CA	6	37	Los Angeles
CA	6	39	Madera
CA	6	41	Marin
CA	6	43	Mariposa
CA	6	45	Mendocino
CA	6	47	Merced
CA	6	49	Modoc
CA	6	51	Mono
CA	6	53	Monterey
CA	6	55	Napa
CA	6	57	Nevada
CA	6	59	Orange
CA	6	61	Placer
CA	6	63	Plumas
CA	6	65	Riverside
CA	6	67	Sacramento
CA	6	69	San Benito
CA	6	71	San Bernardino
CA	6	73	San Diego
CA	6	75	San Francisco
CA	6	77	San Joaquin
CA	6	79	San Luis Obispo
CA	6	81	San Mateo
CA	6	83	Santa Barbara
CA	6	85	Santa Clara
CA	6	87	Santa Cruz
CA	6	89	Shasta
CA	6	91	Sierra
CA	6	93	Siskiyou
CA	6	95	Solano
CA	6	97	Sonoma
CA	6	99	Stanislaus
CA	6	101	Sutter
CA	6	103	Tehama
CA	6	105	Trinity
CA	6	107	Tulare
CA	6	109	Tuolumne
CA	6	111	Ventura
CA	6	113	Yolo
CA	6	115	Yuba
CO	8	1	Adams
CO	8	3	Alamosa
CO	8	5	Arapahoe
CO	8	7	Archuleta
CO	8	9	Baca
CO	8	11	Bent
CO	8	13	Boulder
CO	8	14	Broomfield
CO	8	15	Chaffee
CO	8	17	Cheyenne
CO	8	19	Clear Creek
CO	8	21	Conejos
CO	8	23	Costilla
CO	8	25	Crowley
CO	8	27	Custer
CO	8	29	Delta
CO	8	31	Denver
CO	8	33	Dolores
CO	8	35	Douglas
CO	8	37	Eagle
CO	8	39	Elbert
CO	8	41	El Paso
CO	8	43	Fremont
CO	8	45	Garfield
CO	8	47	Gilpin
CO	8	49	Grand
CO	8	51	Gunnison
CO	8	53	Hinsdale
CO	8	55	Huerfano
CO	8	57	Jackson
CO	8	59	Jefferson
CO	8	61	Kiowa
CO	8	63	Kit Carson
CO	8	65	Lake
CO	8	67	La Plata
CO	8	69	Larimer
CO	8	71	Las Animas
CO	8	73	Lincoln
CO	8	75	Logan
CO	8	77	Mesa
CO	8	79	Mineral
CO	8	81	Moffat
CO	8	83	Montezuma
CO	8	85	Montrose
CO	8	87	Morgan
CO	8	89	Otero
CO	8	91	Ouray
CO	8	93	Park
CO	8	95	Phillips
CO	8	97	Pitkin
CO	8	99	Prowers
CO	8	101	Pueblo
CO	8	103	Rio Blanco
CO	8	105	Rio Grande
CO	8	107	Routt
CO	8	109	Saguache
CO	8	111	San Juan
CO	8	113	San Miguel
CO	8	115	Sedgwick
CO	8	117	Summit
CO	8	119	Teller
CO	8	121	Washington
CO	8	123	Weld
CO	8	125	Yuma
CT	9	1	Fairfield
CT	9	3	Hartford
CT	9	5	Litchfield
CT	9	7	Middlesex
CT	9	9	New Haven
CT	9	11	New London
CT	9	13	Tolland
CT	9	15	Windham
DE	10	1	Kent
DE	10	3	New Castle
DE	10	5	Sussex
DC	11	1	District of Columbia
FL	12	1	Alachua
FL	12	3	Baker
FL	12	5	Bay
FL	12	7	Bradford
FL	12	9	Brevard
FL	12	11	Broward
FL	12	13	Calhoun
FL	12	15	Charlotte
FL	12	17	Citrus
FL	12	19	Clay
FL	12	21	Collier
FL	12	23	Columbia
FL	12	27	DeSoto
FL	12	29	Dixie
FL	12	31	Duval
FL	12	33	Escambia
FL	12	35	Flagler
FL	12	37	Franklin
FL	12	39	Gadsden
FL	12	41	Gilchrist
FL	12	43	Glades
FL	12	45	Gulf
FL	12	47	Hamilton
FL	12	49	Hardee
FL	12	51	Hendry
FL	12	53	Hernando
FL	12	55	Highlands
FL	12	57	Hillsborough
FL	12	59	Holmes
FL	12	61	Indian River
FL	12	63	Jackson
FL	12	65	Jefferson
FL	12	67	Lafayette
FL	12	69	Lake
