st	fips	zip
AK	02080	99729
AL	01131	36768
AR	05037	72387
AZ	04013	85358
CA	06037	93536
CO	08041	80901
CT	09015	06331
DC	11001	20303
DE	10003	19804
FL	12065	32336
GA	13003	31642
HI	15010	96738
IA	19153	50007
ID	16077	83212
IL	17061	62050
IN	18061	47112
KS	20129	67950
KY	21153	41465
LA	22049	71422
MA	25023	02538
MD	24045	21852
ME	23019	04939
MI	26145	48623
MN	27019	55397
MO	29109	65708
MS	28047	39506
MT	30089	59844
NC	37059	27028
ND	38005	58357
NE	31067	68301
NH	33003	03227
NJ	34001	08225
NM	35017	88041
NV	32015	89820
NY	36007	13905
OH	39069	43512
OK	40027	73165
OR	41019	97436
PA	42119	17835
RI	44007	02824
SC	45083	29306
SD	46093	57702
TN	47009	37882
TX	48297	78060
UT	49049	84032
VA	51185	24612
VT	50023	05603
WA	53033	98007
WI	55073	54455
WV	54047	24836
WY	56037	82935
AK	02080	99712
AK	02120	99918
AK	02080	99812
AK	02080	99748
AK	02080	99774
AK	02120	99802
AK	02080	99706
AK	02080	99754
AK	02020	99503
AK	02080	99705
AK	02080	99716
AK	02080	99781
AK	02120	99824
AK	02020	99520
AK	02122	99639
AK	02080	99724
AK	02020	99519
AK	02080	99757
AK	02080	99722
AK	02020	99695
AK	02120	99923
AK	02120	99903
AK	02080	99733
AK	02122	99672
AK	02080	99738
AK	02080	99732
AK	02120	99841
AK	02020	99523
AK	02122	99610
AK	02120	99811
AK	02170	99667
AK	02120	99827
AK	02080	99711
AK	02080	99758
AK	02120	99922
AK	02080	99707
AK	02080	99780
AK	02020	99513
AK	02120	99901
AK	02080	99744
AK	02122	99568
AK	02170	99694
AK	02122	99663
AK	02080	99755
AK	02122	99631
AK	02080	99779
AK	02020	99599
AK	02020	99567
AK	02080	99767
AK	02122	99682
AK	02020	99516
AK	02080	99745
AK	02170	99676
AK	02020	99510
AK	02020	99508
AK	02170	99683
AK	02080	99775
AK	02080	99725
AK	02122	99572
AK	02020	99522
AK	02080	99703
AK	02080	99765
AK	02020	99502
AK	02080	99590
AK	02020	99507
AK	02080	99790
AK	02080	99776
AK	02120	99836
AK	02120	99928
AK	02080	99743
AK	02122	99611
AK	02020	99505
AK	02020	99529
AK	02080	99701
AK	02020	99540
AK	02120	99829
AK	02020	99530
AK	02120	99833
AK	02170	99674
AK	02080	99691
AK	02020	99504
AK	02080	99740
AK	02080	99768
AK	02122	99556
AK	02020	99515
AK	02080	99730
AK	02080	99602
AK	02120	99821
AK	02122	99603
AK	02080	99702
AK	02020	99511
AK	02120	99803
AK	02080	99714
AK	02120	99919
AK	02120	99825
AK	02122	99664
AK	02120	99840
AK	02170	99687
AK	02120	99801
AK	02170	99652
AK	02020	99506
AK	02020	99509
AK	02080	99710
AK	02080	99741
AK	02020	99518
AK	02120	99832
AK	02080	99756
AK	02170	99629
AK	02080	99737
AK	02120	99830
AK	02122	99669
AK	02122	99635
AK	02080	99764
AK	02170	99645
AK	02080	99746
AK	02120	99926
AK	02020	99517
AK	02080	99760
AK	02080	99788
AK	02080	99777
AK	02080	99720
AK	02020	99587
AK	02080	99726
AK	02122	99605
AK	02020	99521
AK	02120	99820
AK	02020	99524
AK	02170	99654
AK	02080	99731
AK	02080	99627
AK	02080	99708
AK	02020	99501
AK	02020	99514
AK	02080	99558
AK	02020	99577
AK	02080	99665
AK	02080	99675
AK	02170	99688
AK	02080	99704
AK	02080	99709
AK	02120	99826
AK	02120	99835
AK	02120	99850
AK	02120	99921
AK	02120	99927
AK	02120	99925
AK	02120	99950
AK	02120	99929
AL	01041	36037
AL	01081	36830
AL	01045	36362
AL	01131	36435
AL	01089	35897
AL	01101	36065
AL	01073	35219
AL	01119	35464
AL	01127	35130
AL	01043	35087
AL	01073	35048
AL	01117	35186
AL	01085	36032
AL	01045	36303
AL	01079	35619
AL	01119	35459
AL	01007	36750
AL	01091	36738
AL	01073	35240
AL	01003	36577
AL	01115	35004
AL	01041	36042
AL	01077	35631
AL	01009	35049
AL	01073	35245
AL	01125	35485
AL	01031	36330
AL	01003	36507
AL	01111	36263
AL	01079	35618
AL	01121	35032
AL	01117	35143
AL	01073	35238
AL	01031	36079
AL	01035	36471
AL	01073	35202
AL	01007	35042
AL	01111	36280
AL	01071	35755
AL	01075	35592
AL	01097	36625
AL	01023	36916
AL	01033	35672
AL	01015	36207
AL	01097	36604
AL	01123	36023
AL	01127	35584
AL	01015	35907
AL	01073	35079
AL	01027	36258
AL	01043	35019
AL	01073	35206
AL	01097	36590
AL	01015	36279
AL	01127	35038
AL	01101	36106
AL	01121	36268
AL	01101	36130
AL	01019	35973
AL	01029	36273
AL	01115	35128
AL	01029	36268
AL	01037	36026
AL	01043	35016
AL	01069	36345
AL	01017	36855
AL	01103	35754
AL	01009	35980
AL	01039	36028
AL	01037	35151
AL	01127	35549
AL	01125	35474
AL	01097	36609
AL	01089	35760
AL	01053	36502
AL	01081	36849
AL	01073	35022
AL	01077	35617
AL	01113	36870
AL	01001	36006
AL	01123	36850
AL	01071	35966
AL	01031	36316
AL	01081	36804
AL	01071	35978
AL	01073	35289
AL	01101	36142
AL	01037	35010
AL	01013	36456
AL	01121	35014
AL	01117	35022
AL	01009	35031
AL	01117	35035
AL	01121	35044
AL	01121	35160
AL	01021	35046
AL	01021	36051
AL	01073	35061
AL	01129	36585
AL	01009	35063
AL	01065	35474
AL	01113	36877
AL	01043	35179
AL	01053	36427
AL	01027	35072
AL	01057	35545
AL	01037	35072
AL	01123	36255
AL	01043	35077
AL	01009	35097
AL	01007	35111
AL	01099	36449
AL	01005	36317
AL	01093	35552
AL	01127	35062
AL	01073	35116
AL	01049	35765
AL	01051	36117
AL	01115	35125
AL	01069	36321
AL	01071	35768
AL	01117	35243
AL	01049	35984
AL	01073	35130
AL	01031	36477
AL	01077	35634
AL	01073	35142
AL	01093	35564
AL	01115	35146
AL	01111	36278
AL	01133	35551
AL	01009	35079
AL	01037	35150
AL	01121	35161
AL	01099	36439
AL	01053	36432
AL	01099	36480
AL	01117	35178
AL	01133	35179
AL	01037	35183
AL	01125	35184
AL	01059	35564
AL	01057	35594
AL	01073	35006
AL	01125	35440
AL	01131	36769
AL	01097	36512
AL	01129	36513
AL	01055	35902
AL	01073	35201
AL	01073	35223
AL	01025	36762
AL	01073	35226
AL	01073	35229
AL	01089	35805
AL	01083	35742
AL	01073	35005
AL	01067	36345
AL	01111	36276
AL	01043	35056
AL	01049	35962
AL	01051	35010
AL	01115	35131
AL	01073	35292
AL	01003	36535
AL	01063	35443
AL	01069	36352
AL	01071	35766
AL	01073	35203
AL	01073	35281
AL	01125	35452
AL	01125	35453
AL	01107	35461
AL	01073	35234
AL	01127	35554
AL	01089	35801
AL	01117	35185
AL	01125	35468
AL	01003	36547
AL	01127	35550
AL	01125	35486
AL	01035	36473
AL	01125	35487
AL	01043	35540
AL	01093	35548
AL	01057	35563
AL	01057	35574
AL	01075	35574
AL	01093	35593
AL	01093	35594
AL	01083	35611
AL	01083	35615
AL	01073	35243
AL	01091	36748
AL	01027	36266
AL	01071	35772
AL	01107	35447
AL	01043	35622
AL	01089	35763
AL	01099	36502
AL	01049	35966
AL	01049	35954
AL	01077	35632
AL	01001	36068
AL	01079	35651
AL	01099	36475
