zip5	hrrcity	hrrstate	hrr	region
00501	East Long Island	NY	301	3
00544	East Long Island	NY	301	3
01001	Springfield	MA	230	2
01002	Springfield	MA	230	2
01003	Springfield	MA	230	2
01004	Springfield	MA	230	2
01005	Worcester	MA	231	2
01007	Springfield	MA	230	2
01008	Springfield	MA	230	2
01009	Springfield	MA	230	2
01010	Worcester	MA	231	2
01011	Albany	NY	295	4
01012	Springfield	MA	230	2
01013	Springfield	MA	230	2
01014	Springfield	MA	230	2
01020	Springfield	MA	230	2
01021	Springfield	MA	230	2
01022	Springfield	MA	230	2
01026	Springfield	MA	230	2
01027	Springfield	MA	230	2
01028	Springfield	MA	230	2
01029	Springfield	MA	230	2
01030	Springfield	MA	230	2
01031	Springfield	MA	230	2
01032	Springfield	MA	230	2
01033	Springfield	MA	230	2
01034	Springfield	MA	230	2
01035	Springfield	MA	230	2
01036	Springfield	MA	230	2
01037	Springfield	MA	230	2
01038	Springfield	MA	230	2
01039	Springfield	MA	230	2
01040	Springfield	MA	230	2
01041	Springfield	MA	230	2
01050	Springfield	MA	230	2
01053	Springfield	MA	230	2
01054	Springfield	MA	230	2
01056	Springfield	MA	230	2
01057	Springfield	MA	230	2
01059	Springfield	MA	230	2
01060	Springfield	MA	230	2
01061	Springfield	MA	230	2
01062	Springfield	MA	230	2
01063	Springfield	MA	230	2
01066	Springfield	MA	230	2
01068	Worcester	MA	231	2
01069	Springfield	MA	230	2
01070	Springfield	MA	230	2
01071	Springfield	MA	230	2
01072	Springfield	MA	230	2
01073	Springfield	MA	230	2
01074	Worcester	MA	231	2
01075	Springfield	MA	230	2
01077	Springfield	MA	230	2
01079	Springfield	MA	230	2
01080	Springfield	MA	230	2
01081	Worcester	MA	231	2
01082	Springfield	MA	230	2
01083	Springfield	MA	230	2
01084	Springfield	MA	230	2
01085	Springfield	MA	230	2
01086	Springfield	MA	230	2
01088	Springfield	MA	230	2
01089	Springfield	MA	230	2
01090	Springfield	MA	230	2
01092	Springfield	MA	230	2
01093	Springfield	MA	230	2
01094	Springfield	MA	230	2
01095	Springfield	MA	230	2
01096	Springfield	MA	230	2
01097	Springfield	MA	230	2
01098	Springfield	MA	230	2
01101	Springfield	MA	230	2
01102	Springfield	MA	230	2
01103	Springfield	MA	230	2
01104	Springfield	MA	230	2
01105	Springfield	MA	230	2
01106	Springfield	MA	230	2
01107	Springfield	MA	230	2
01108	Springfield	MA	230	2
01109	Springfield	MA	230	2
01111	Springfield	MA	230	2
01115	Springfield	MA	230	2
01116	Springfield	MA	230	2
01118	Springfield	MA	230	2
01119	Springfield	MA	230	2
01128	Springfield	MA	230	2
01129	Springfield	MA	230	2
01133	Springfield	MA	230	2
01138	Springfield	MA	230	2
01139	Springfield	MA	230	2
01144	Springfield	MA	230	2
01151	Springfield	MA	230	2
01152	Springfield	MA	230	2
01195	Springfield	MA	230	2
01199	Springfield	MA	230	2
01201	Albany	NY	295	4
01202	Albany	NY	295	4
01203	Albany	NY	295	4
01220	Springfield	MA	230	2
01222	Springfield	MA	230	2
01223	Albany	NY	295	4
01224	Albany	NY	295	4
01225	Albany	NY	295	4
01226	Albany	NY	295	4
01227	Albany	NY	295	4
01229	Albany	NY	295	4
01230	Springfield	MA	230	2
01235	Albany	NY	295	4
01236	Springfield	MA	230	2
01237	Albany	NY	295	4
01238	Albany	NY	295	4
01240	Albany	NY	295	4
01242	Albany	NY	295	4
01243	Albany	NY	295	4
01244	Springfield	MA	230	2
01245	Springfield	MA	230	2
01247	Springfield	MA	230	2
01252	Springfield	MA	230	2
01253	Springfield	MA	230	2
01254	Albany	NY	295	4
01255	Springfield	MA	230	2
01256	Springfield	MA	230	2
01257	Springfield	MA	230	2
01258	Springfield	MA	230	2
01259	Springfield	MA	230	2
01260	Albany	NY	295	4
01262	Albany	NY	295	4
01263	Albany	NY	295	4
01264	Albany	NY	295	4
01266	Albany	NY	295	4
01267	Springfield	MA	230	2
01270	Albany	NY	295	4
01301	Springfield	MA	230	2
01302	Springfield	MA	230	2
01330	Springfield	MA	230	2
01331	Worcester	MA	231	2
01337	Springfield	MA	230	2
01338	Springfield	MA	230	2
01339	Springfield	MA	230	2
01340	Springfield	MA	230	2
01341	Springfield	MA	230	2
01342	Springfield	MA	230	2
01343	Springfield	MA	230	2
01344	Springfield	MA	230	2
01346	Springfield	MA	230	2
01347	Springfield	MA	230	2
01349	Springfield	MA	230	2
01350	Springfield	MA	230	2
01351	Springfield	MA	230	2
01354	Springfield	MA	230	2
01355	Worcester	MA	231	2
01360	Springfield	MA	230	2
01364	Worcester	MA	231	2
01366	Worcester	MA	231	2
01367	Springfield	MA	230	2
01368	Worcester	MA	231	2
01370	Springfield	MA	230	2
01373	Springfield	MA	230	2
01375	Springfield	MA	230	2
01376	Springfield	MA	230	2
01378	Worcester	MA	231	2
01379	Springfield	MA	230	2
01380	Springfield	MA	230	2
01420	Worcester	MA	231	2
01430	Worcester	MA	231	2
01431	Worcester	MA	231	2
01432	Boston	MA	227	2
01434	Boston	MA	227	2
01436	Worcester	MA	231	2
01438	Worcester	MA	231	2
01440	Worcester	MA	231	2
01441	Worcester	MA	231	2
01450	Boston	MA	227	2
01451	Boston	MA	227	2
01452	Worcester	MA	231	2
01453	Worcester	MA	231	2
01460	Boston	MA	227	2
01462	Worcester	MA	231	2
01463	Boston	MA	227	2
01464	Boston	MA	227	2
01467	Boston	MA	227	2
01468	Worcester	MA	231	2
01469	Boston	MA	227	2
01471	Boston	MA	227	2
01472	Boston	MA	227	2
01473	Worcester	MA	231	2
01474	Worcester	MA	231	2
01475	Worcester	MA	231	2
01477	Worcester	MA	231	2
01501	Worcester	MA	231	2
01503	Worcester	MA	231	2
01504	Providence	RI	364	1
01505	Worcester	MA	231	2
01506	Worcester	MA	231	2
01507	Worcester	MA	231	2
01508	Worcester	MA	231	2
01509	Worcester	MA	231	2
01510	Worcester	MA	231	2
01515	Worcester	MA	231	2
01516	Worcester	MA	231	2
01517	Worcester	MA	231	2
01518	Worcester	MA	231	2
01519	Worcester	MA	231	2
01520	Worcester	MA	231	2
01521	Worcester	MA	231	2
01522	Worcester	MA	231	2
01523	Worcester	MA	231	2
01524	Worcester	MA	231	2
01525	Worcester	MA	231	2
01526	Worcester	MA	231	2
01527	Worcester	MA	231	2
01529	Providence	RI	364	1
01531	Worcester	MA	231	2
01532	Worcester	MA	231	2
01534	Worcester	MA	231	2
01535	Worcester	MA	231	2
01536	Worcester	MA	231	2
01537	Worcester	MA	231	2
01538	Worcester	MA	231	2
01540	Worcester	MA	231	2
01541	Worcester	MA	231	2
01542	Worcester	MA	231	2
01543	Worcester	MA	231	2
01545	Worcester	MA	231	2
01546	Worcester	MA	231	2
01550	Worcester	MA	231	2
01560	Worcester	MA	231	2
01561	Worcester	MA	231	2
01562	Worcester	MA	231	2
01564	Worcester	MA	231	2
01566	Worcester	MA	231	2
01568	Worcester	MA	231	2
01569	Worcester	MA	231	2
01570	Worcester	MA	231	2
01571	Worcester	MA	231	2
01580	Worcester	MA	231	2
01581	Worcester	MA	231	2
01582	Worcester	MA	231	2
01583	Worcester	MA	231	2
01585	Springfield	MA	230	2
01586	Worcester	MA	231	2
01588	Worcester	MA	231	2
01590	Worcester	MA	231	2
01601	Worcester	MA	231	2
01602	Worcester	MA	231	2
01603	Worcester	MA	231	2
01604	Worcester	MA	231	2
01605	Worcester	MA	231	2
01606	Worcester	MA	231	2
01607	Worcester	MA	231	2
01608	Worcester	MA	231	2
01609	Worcester	MA	231	2
01610	Worcester	MA	231	2
01611	Worcester	MA	231	2
01612	Worcester	MA	231	2
01613	Worcester	MA	231	2
01614	Worcester	MA	231	2
01615	Worcester	MA	231	2
01653	Worcester	MA	231	2
01654	Worcester	MA	231	2
01655	Worcester	MA	231	2
01701	Boston	MA	227	2
01702	Boston	MA	227	2
01703	Boston	MA	227	2
01704	Boston	MA	227	2
01705	Boston	MA	227	2
01718	Boston	MA	227	2
01719	Boston	MA	227	2
01720	Boston	MA	227	2
01721	Boston	MA	227	2
01730	Boston	MA	227	2
01731	Boston	MA	227	2
01740	Worcester	MA	231	2
01741	Boston	MA	227	2
01742	Boston	MA	227	2
01745	Boston	MA	227	2
01746	Boston	MA	227	2
01747	Worcester	MA	231	2
01748	Boston	MA	227	2
01749	Worcester	MA	231	2
01752	Worcester	MA	231	2
01754	Boston	MA	227	2
01756	Worcester	MA	231	2
01757	Boston	MA	227	2
01760	Boston	MA	227	2
01770	Boston	MA	227	2
01772	Boston	MA	227	2
01773	Boston	MA	227	2
01775	Boston	MA	227	2
01776	Boston	MA	227	2
01778	Boston	MA	227	2
01784	Boston	MA	227	2
01801	Boston	MA	227	2
01803	Boston	MA	227	2
01805	Boston	MA	227	2
01806	Boston	MA	227	2
01807	Boston	MA	227	2
01808	Boston	MA	227	2
01810	Boston	MA	227	2
01812	Boston	MA	227	2
01813	Boston	MA	227	2
01815	Boston	MA	227	2
01821	Boston	MA	227	2
01822	Boston	MA	227	2
01824	Boston	MA	227	2
01826	Boston	MA	227	2
01827	Boston	MA	227	2
01830	Boston	MA	227	2
01831	Boston	MA	227	2
01832	Boston	MA	227	2
01833	Boston	MA	227	2
01834	Boston	MA	227	2
01835	Boston	MA	227	2
01840	Boston	MA	227	2
01841	Boston	MA	227	2
01842	Boston	MA	227	2
01843	Boston	MA	227	2
01844	Boston	MA	227	2
01845	Boston	MA	227	2
01850	Boston	MA	227	2
01851	Boston	MA	227	2
01852	Boston	MA	227	2
01853	Boston	MA	227	2
01854	Boston	MA	227	2
01860	Boston	MA	227	2
01862	Boston	MA	227	2
01863	Boston	MA	227	2
01864	Boston	MA	227	2
01865	Boston	MA	227	2
01866	Boston	MA	227	2
01867	Boston	MA	227	2
01876	Boston	MA	227	2
01879	Boston	MA	227	2
01880	Boston	MA	227	2
01885	Boston	MA	227	2
01886	Boston	MA	227	2
01887	Boston	MA	227	2
01888	Boston	MA	227	2
01889	Boston	MA	227	2
01890	Boston	MA	227	2
01899	Boston	MA	227	2
01901	Boston	MA	227	2
01902	Boston	MA	227	2
01903	Boston	MA	227	2
01904	Boston	MA	227	2
01905	Boston	MA	227	2
01906	Boston	MA	227	2
01907	Boston	MA	227	2
01908	Boston	MA	227	2
01910	Boston	MA	227	2
01913	Boston	MA	227	2
01915	Boston	MA	227	2
01921	Boston	MA	227	2
01922	Boston	MA	227	2
01923	Boston	MA	227	2
01929	Boston	MA	227	2
01930	Boston	MA	227	2
01931	Boston	MA	227	2
01936	Boston	MA	227	2
01937	Boston	MA	227	2
01938	Boston	MA	227	2
01940	Boston	MA	227	2
01944	Boston	MA	227	2
01945	Boston	MA	227	2
01949	Boston	MA	227	2
01950	Boston	MA	227	2
01951	Boston	MA	227	2
01952	Boston	MA	227	2
01960	Boston	MA	227	2
01961	Boston	MA	227	2
01965	Boston	MA	227	2
01966	Boston	MA	227	2
01969	Boston	MA	227	2
01970	Boston	MA	227	2
01971	Boston	MA	227	2
01982	Boston	MA	227	2
01983	Boston	MA	227	2
01984	Boston	MA	227	2
01985	Boston	MA	227	2
02018	Boston	MA	227	2
02019	Providence	RI	364	1
02020	Boston	MA	227	2
02021	Boston	MA	227	2
02025	Boston	MA	227	2
02026	Boston	MA	227	2
02027	Boston	MA	227	2
02030	Boston	MA	227	2
02032	Boston	MA	227	2
02035	Boston	MA	227	2
