hrr	region	zip5
1	9	35950
2	9	39832
5	9	35768
6	9	36558
7	9	36130
9	9	35447
10	13	99609
11	12	85211
12	12	85318
14	12	85376
15	12	85626
16	11	71953
18	11	72410
19	11	72012
21	11	72662
22	11	75551
23	13	92624
25	13	93249
31	13	95968
33	13	94521
43	13	93643
56	14	90605
58	13	95358
62	13	95587
65	13	94666
69	13	92277
73	13	95564
77	13	95837
78	13	93450
79	13	92522
80	13	92123
81	13	94131
82	13	95124
83	13	93401
85	13	94303
86	13	93455
87	13	95018
89	13	95473
91	13	95222
96	13	93061
101	12	80455
102	12	80944
103	12	69169
104	12	82063
105	12	81210
106	12	80735
107	12	81022
109	1	06605
110	1	06045
111	1	06703
112	5	19903
113	5	21757
115	5	34208
116	5	34684
118	5	33408
119	5	33907
120	5	32140
122	5	34690
123	5	32030
124	5	33840
127	5	33155
129	5	32163
130	5	32777
131	5	32114
133	5	32410
134	5	32521
137	5	34224
139	5	33708
140	5	32347
141	5	33662
142	5	31702
144	5	31191
145	5	30441
146	5	36856
147	5	31061
148	5	30129
149	5	31549
150	13	96859
151	12	83702
152	12	83405
154	8	60554
155	8	60429
156	8	60607
158	8	60013
161	8	60078
163	8	60565
164	8	60964
166	8	60534
170	8	61544
171	8	61324
172	8	62563
173	8	61956
175	8	61701
179	6	47705
180	6	46702
181	6	46392
183	6	47460
184	6	47977
185	6	47302
186	6	46394
187	6	46574
188	6	47803
190	10	52406
191	10	52773
192	10	50314
193	10	52065
194	10	63465
195	10	50560
196	10	50588
197	10	50641
200	10	66506
201	10	67864
203	9	45277
204	9	40502
205	9	42152
207	9	42322
208	9	62959
209	11	71375
210	11	39669
212	11	70374
213	11	70531
214	11	70643
216	11	70009
217	11	71213
218	11	70041
219	11	71080
220	11	39558
221	1	04614
222	1	03838
223	5	21084
225	5	19939
226	5	20782
227	2	02767
230	2	01056
231	2	01550
232	7	49234
233	7	48128
234	7	48096
235	7	48504
236	7	49516
238	7	49046
239	7	48861
240	7	49825
242	7	49446
243	7	49782
244	7	48348
245	7	48073
246	7	48654
248	7	49056
249	7	49648
250	10	55703
251	10	55392
253	10	54761
254	10	56479
256	10	55123
257	9	39540
258	9	39476
259	9	39108
260	9	36915
261	9	38927
262	9	38858
263	10	63881
264	10	65064
267	10	66767
268	10	64474
270	10	72682
273	10	63011
274	12	59221
275	12	59401
276	12	59867
277	10	68939
278	10	51637
279	12	89109
280	12	89427
281	1	03466
282	1	03873
283	4	08008
284	4	10960
285	4	07869
288	4	08837
289	4	07052
291	4	07543
292	4	07436
293	12	87190
295	4	12068
296	4	13733
297	3	10467
299	4	14220
300	4	13599
301	3	11435
303	3	10006
304	4	14512
307	4	13142
308	4	12566
309	5	28760
